ofac_name,iso_name
"Bahamas, The",Bahamas
Bolivia,Bolivia (Plurinational State of)
Burma,Myanmar
"Congo, Republic of the","Congo, Democratic Republic of the"
Cote d Ivoire, Côte d'Ivoire
Czech Republic,Czechia
Iran,Iran (Islamic Republic of)
"Korea, North",Korea (Democratic People's Republic of)
"Korea, South","Korea, Republic of"
Kosovo,
Laos,Lao People's Democratic Republic
Moldova,"Moldova, Republic of"
Netherlands Antilles,
Palestinian,"Palestine, State of"
Region: Crimea,
Region: Gaza,
Region: Kafia Kingi,
Region: Northern Mali,
Russia,Russian Federation
Syria,Syrian Arab Republic
Taiwan,"Taiwan, Province of China"
Tanzania,"Tanzania, United Republic of"
The Gambia,Gambia
undetermined,
United Kingdom,United Kingdom of Great Britain and Northern Ireland
United States,United States of America
Venezuela,Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
"Virgin Islands, British",Virgin Islands (British)
West Bank,
